"País","PBI PPA","GDP (CIA)","% desempleo"
"Afghanistan",6.945e+10,2000,23.9
"Albania",3.601e+10,12500,13.8
"Algeria",6.3e+11,15200,11.7
"American Samoa",6.58e+08,11200,29.8
"Andorra",3.327e+09,49900,3.7
"Angola",1.936e+11,6800,6.6
"Anguilla",175400000,12200,8
"Antigua and Barbuda",2.398e+09,26400,11
"Argentina",9.221e+11,20900,8.4
"Armenia",2.834e+10,9500,18.9
"Aruba",4.158e+09,37500,7.7
"Australia",1.248e+12,50400,5.6
"Austria",4.41e+11,50000,5.5
"Azerbaijan",1.722e+11,17500,5
"Bahamas, The",1.206e+10,32400,10.1
"Bahrain",7.117e+10,49000,3.6
"Bangladesh",6.903e+11,4200,4.4
"Barbados",5.218e+09,18600,10.1
"Belarus",1.794e+11,18900,0.8
"Belgium",5.292e+11,46600,7.1
"Belize",3.218e+09,8300,9
"Benin",2.539e+10,2300,1
"Bermuda",6.127e+09,99400,7
"Bhutan",7.205e+09,9000,3.2
"Bolivia",8.372e+10,7600,4
"Bosnia and Herzegovina",4.483e+10,12800,20.5
"Botswana",3.901e+10,17000,20
"Brazil",3.248e+12,15600,12.8
"British Virgin Islands",5e+08,34200,2.9
"Brunei",3.387e+10,78900,6.9
"Bulgaria",1.535e+11,21800,6.2
"Burkina Faso",3.585e+10,1900,77
"Burma",3.298e+11,6300,4
"Burundi",8.007e+09,700,NA
"Cabo Verde",3.777e+09,7000,9
"Cambodia",6.421e+10,4000,0.3
"Cameroon",8.954e+10,3700,4.3
"Canada",1.774e+12,48400,6.3
"Cayman Islands",2.507e+09,43800,4
"Central African Republic",3.39e+09,700,6.9
"Chad",2.862e+10,2300,NA
"Chile",4.521e+11,24600,6.7
"China",2.536e+13,18200,3.9
"Cocos (Keeling) Islands",NA,NA,0.1
"Colombia",7.116e+11,14400,9.3
"Comoros",1.319e+09,1600,6.5
"Congo, Democratic Republic of the",6.86e+10,800,NA
"Congo, Republic of the",2.939e+10,6800,36
"Cook Islands",299900000,16700,13.1
"Costa Rica",8.394e+10,16900,8.1
"Cote d'Ivoire",9.716e+10,3900,9.4
"Croatia",1.021e+11,24700,12.4
"Cuba",1.37e+11,12300,2.6
"Curacao",3.128e+09,15000,13
"Cyprus",3.178e+10,37200,11.1
"Czechia",3.759e+11,35500,2.9
"Denmark",2.878e+11,50100,5.7
"Djibouti",3.64e+09,3600,40
"Dominica",7.83e+08,11000,23
"Dominican Republic",1.73e+11,17000,5.1
"Ecuador",1.93e+11,11500,4.6
"Egypt",1.204e+12,12700,12.2
"El Salvador",5.117e+10,8000,7
"Equatorial Guinea",3.152e+10,37400,8.6
"Eritrea",9.402e+09,1600,5.8
"Estonia",4.165e+10,31700,5.8
"Eswatini",1.16e+10,10100,28
"Ethiopia",2.006e+11,2200,17.5
"European Union",NA,NA,8.6
"Falkland Islands (Islas Malvinas)",206400000,70800,1
"Faroe Islands",2.001e+09,40000,2.2
"Fiji",8.629e+09,9800,4.5
"Finland",2.449e+11,44500,8.5
"France",2.856e+12,44100,9.4
"French Polynesia",5.49e+09,17000,21.8
"Gabon",3.666e+10,18100,28
"Gambia, The",5.556e+09,2600,NA
"Gaza Strip",NA,NA,27.9
"Georgia",3.985e+10,10700,2017
"Germany",4.199e+12,50800,3.8
"Ghana",1.34e+11,4700,11.9
"Gibraltar",2.044e+09,61700,1
"Greece",2.993e+11,27800,21.5
"Greenland",2.413e+09,41800,9.1
"Grenada",1.634e+09,15100,24
"Guam",5.793e+09,35600,4.5
"Guatemala",1.381e+11,8200,2.3
"Guernsey",3.465e+09,52500,1.2
"Guinea",2.797e+10,2200,2.7
"Guinea-Bissau",3.171e+09,1900,NA
"Guyana",6.301e+09,8100,11.1
"Haiti",1.997e+10,1800,40.6
"Honduras",4.63e+10,5600,5.6
"Hong Kong",4.805e+11,64500,3.1
"Hungary",2.896e+11,29600,4.2
"Iceland",1.818e+10,52200,2.8
"India",9.474e+12,7200,8.5
