"Country","Suicidio","IDH","GDP (CIA)","% desempleo","tasa de fertilidad","% urbanizado","Happiness Score","Social Support Score","Generosity Score","Political Participation","Political Culture","Civil Liberties"
"Afghanistan",4.7,0.496,2000,23.9,4.5,0.26,3.203,0.517,0.158,3.89,2.5,3.82
"Albania",6.3,0.791,12500,13.8,1.6,0.621,4.719,0.848,0.178,4.44,5,7.65
"Algeria",3.2,0.759,15200,11.7,3,0.737,5.211,1.16,0.073,5,5,4.12
"Argentina",9.2,0.83,20900,8.4,2.3,0.921,6.086,1.432,0.066,6.11,6.25,8.24
"Armenia",6.6,0.76,9500,18.9,1.8,0.633,4.559,1.055,0.095,6.11,3.13,5.59
"Australia",13.2,0.938,50400,5.6,1.7,0.862,7.228,1.548,0.332,7.78,8.75,10
"Austria",15.6,0.914,50000,5.5,1.5,0.587,7.246,1.475,0.244,8.33,6.88,8.82
"Azerbaijan",2.6,0.754,17500,5,1.7,0.564,5.208,1.147,0.035,2.78,3.75,3.53
"Bahrain",5.9,0.838,49000,3.6,2,0.895,6.199,1.368,0.255,2.78,4.38,2.06
"Bangladesh",5.9,0.614,4200,4.4,2,0.382,4.456,0.928,0.166,6.11,4.38,5
"Belarus",26.2,0.817,18900,0.8,1.4,0.795,5.323,1.465,0.094,2.78,4.38,2.35
"Belgium",20.7,0.919,46600,7.1,1.6,0.981,6.923,1.504,0.16,5,6.88,8.53
"Benin",9.9,0.52,2300,1,4.8,0.484,4.883,0.437,0.175,4.44,5.63,5
"Bhutan",11.4,0.617,9000,3.2,2,0.423,5.082,1.321,0.37,2.78,4.38,3.82
"Bolivia",12.2,0.703,7600,4,2.7,0.701,5.779,1.209,0.137,5,3.75,6.76
"Botswana",9.3,0.728,17000,20,2.9,0.709,3.488,1.145,0.025,6.11,7.5,9.12
"Brazil",6.5,0.761,15600,12.8,1.7,0.871,6.3,1.439,0.099,6.11,5,8.24
"Bulgaria",11.5,0.816,21800,6.2,1.6,0.757,5.011,1.513,0.081,7.22,4.38,7.94
"Burkina Faso",7.7,0.434,1900,77,5.2,0.306,4.587,1.056,0.177,4.44,5,4.12
"Burundi",9.1,0.423,700,NA,5.4,0.137,3.775,0.447,0.176,3.33,5,2.35
"Cambodia",5.3,0.581,4000,0.3,2.5,0.242,4.7,1.122,0.232,3.33,5.63,3.24
"Cameroon",12.2,0.563,3700,4.3,4.6,0.576,5.044,0.91,0.187,3.33,4.38,2.35
"Canada",12.5,0.922,48400,6.3,1.5,0.816,7.278,1.505,0.285,7.78,9.38,9.71
"Central African Republic",7.7,0.381,700,6.9,4.7,0.422,3.083,0,0.235,1.11,1.88,2.35
"Chad",8.8,0.401,2300,NA,5.7,0.235,4.35,0.766,0.198,1.67,3.75,2.65
